sts,device_fk,latitude,longitude,time_stamp,speed
2021-10-23T12:30:43.481361+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:19+00:00,0
2021-10-23T12:30:43.481529+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:36+00:00,0
2021-10-23T12:30:43.482687+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:42:02+00:00,0
2021-10-23T12:30:43.482861+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:41:56+00:00,0
2021-10-23T12:30:43.483196+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:14+00:00,0
2021-10-23T12:30:43.486838+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:42:04+00:00,0
2021-10-23T12:30:43.486926+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:41:58+00:00,0
2021-10-23T12:30:43.487101+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:42:00+00:00,0
2021-10-23T12:30:43.487190+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:06+00:00,0
2021-10-23T12:30:43.487291+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:12+00:00,0
2021-10-23T12:30:43.487380+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:40+00:00,0
2021-10-23T12:30:43.487468+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:08+00:00,0
2021-10-23T12:30:43.487563+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:04+00:00,0
2021-10-23T12:30:43.488614+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:10+00:00,0
2021-10-23T12:30:47.175252+00:00,25029,27.88553047180176,76.265869140625,2021-10-23T12:30:39+00:00,17
2021-10-23T12:30:47.183580+00:00,25029,27.88554573059082,76.26570892333984,2021-10-23T12:30:43+00:00,13
2021-10-23T12:30:47.187360+00:00,25029,27.88554573059082,76.26578521728516,2021-10-23T12:30:41+00:00,14
2021-10-23T12:30:51.074844+00:00,6888,19.73909568786621,76.18146514892578,2021-10-23T12:30:41+00:00,12
2021-10-23T12:30:51.075349+00:00,6888,19.739133834838867,76.18132019042969,2021-10-23T12:30:33+00:00,0
2021-10-23T12:30:51.075766+00:00,6888,19.739093780517575,76.1815185546875,2021-10-23T12:30:43+00:00,10
2021-10-23T12:30:51.075954+00:00,6888,19.73911666870117,76.181396484375,2021-10-23T12:30:37+00:00,6
2021-10-23T12:30:51.076389+00:00,6888,19.73918342590332,76.1812744140625,2021-10-23T12:30:25+00:00,4
2021-10-23T12:30:51.076793+00:00,6888,19.7391414642334,76.1812973022461,2021-10-23T12:30:29+00:00,0
2021-10-23T12:30:51.077319+00:00,6888,19.739124298095703,76.18136596679688,2021-10-23T12:30:35+00:00,5
